Time,v_vehicle,n_engine
5.0196 sec,17.9271407862274,1980.42590589133
5.0196 sec,17.9271407862274,1980.42590589128
5.0547 sec,17.9014710495749,1949.08570914644
5.0892 sec,17.8762328007977,1921.57701322691
5.1287 sec,17.847369184792,1892.89959794454
5.1741 sec,17.8142413976353,1862.54111165754
5.2246 sec,17.7773834452256,1831.03047505507
5.2826 sec,17.735065853005,1797.00574300422
5.3513 sec,17.6849009124115,1758.9711898701
5.4359 sec,17.6232018897707,1714.94532001334
5.545 sec,17.5435817187165,1661.81028278404
5.6646 sec,17.4563910335055,1607.53999431229
5.7899 sec,17.3650631649443,1554.3179592892
5.9182 sec,17.2715496293348,1503.05836643529
6 sec,17.2119917769727,1471.91404261281
6.0108 sec,17.2919042633996,1442.10250309834
6.0217 sec,17.3718158460434,1391.76346325949
6.0233 sec,17.3836774538824,1384.3040276091
6.0233 sec,17.3836774538828,1384.30402760884
6.0476 sec,17.4160210858693,1386.87785206297
6.0744 sec,17.4515456784346,1389.70480931705
6.1059 sec,17.4928195444886,1392.98927921849
6.143 sec,17.5413230669163,1396.84906689448
6.1876 sec,17.599510551408,1401.47947978573
6.2431 sec,17.6715257149276,1407.21026441153
6.3153 sec,17.76511842703,1414.65813579614
6.4177 sec,17.8972880650864,1425.17586140772
6.5917 sec,18.1205907643934,1442.94572560753
6.8368 sec,18.432130968781,1467.73730735435
7 sec,18.6374449883192,1484.07567790057
7.3203 sec,19.0351760512515,1515.72611023157
7.3656 sec,19.1134153266133,1521.95219394124
7.4109 sec,19.1909340158132,1528.12093522659
7.4616 sec,19.2773552606918,1534.99811938223
7.5285 sec,19.3905334840597,1544.0045562312
7.6218 sec,19.5476362879182,1556.50640013512
7.775 sec,19.8035402059449,1576.87058688863
8 sec,20.1746183640849,1606.40004845423
8.2748 sec,20.61970167594,1641.81865303961
8.2979 sec,20.7010758356692,1648.29420292074
8.321 sec,20.781339715986,1654.68139957294
8.3447 sec,20.8627403574809,1661.15905680543
8.3732 sec,20.9598401981482,1668.88601661441
8.408 sec,21.0773094463541,1678.23392237087
8.4516 sec,21.2233213197712,1689.85317807219
8.5086 sec,21.4129325827548,1704.94196295519
8.5933 sec,21.6912055568641,1727.0862226344
8.7389 sec,22.1614122608191,1764.50408323684
8.8848 sec,22.6235702251939,1801.28144552313
9 sec,22.9817190025966,1829.78201965258
9.0012 sec,22.9808425141654,1828.75734127299
9.0012 sec,22.9808425141653,1828.7573412729
9.0012 sec,22.9808425141652,1828.7573412728
9.0024 sec,22.9799602989113,1827.73220715516
9.0024 sec,22.9799602989112,1827.73220715506
9.0036 sec,22.9790781191054,1826.70938706202
9.0048 sec,22.9781959665272,1825.6927810912
9.0071 sec,22.9764317433009,1823.67788773531
9.0119 sec,22.9729036263554,1819.71920172717
9.0134 sec,22.9717886933792,1818.48756452148
9.0134 sec,22.9717886933792,1818.48756452139
9.0229 sec,22.9647340750168,1810.89213169473
9.0324 sec,22.9576812684706,1803.62035764102
9.0515 sec,22.943581219586,1789.91556137897
9.0862 sec,22.9179199331873,1767.23764353673
9.1254 sec,22.8889108795808,1744.15664912459
9.1714 sec,22.8549953094705,1719.44018500741
9.2244 sec,22.8159585582512,1692.96332529795
9.2321 sec,22.8103251230906,1689.27806756353
9.2321 sec,22.8103251230905,1689.27806756347
9.2321 sec,22.8103251230904,1689.27806756342
9.2919 sec,22.7663907516558,1661.34385982257
9.3517 sec,22.7225663022539,1634.70525856438
9.4373 sec,22.6600412367235,1598.32199622246
9.5451 sec,22.581659224941,1554.87166938934
9.6583 sec,22.4998063511796,1511.56140573715
9.7725 sec,22.4177739821199,1469.88432708795
9.8896 sec,22.3342689020972,1428.9688494681
10 sec,22.2560376176708,1391.87213635156
10 sec,22.2526624747525,1396.03848172468
10 sec,22.2526624747516,1396.03848172583
10.011 sec,22.1660821819502,1482.29670511951
10.022 sec,22.0795079735666,1567.90886619289
10.027 sec,22.0344415606805,1612.21460496127
10.027 sec,22.0344415606795,1612.21460496218
10.044 sec,22.0529738523577,1613.57137764286
10.061 sec,22.0710902558647,1614.89770261981
10.084 sec,22.0959752531811,1616.71956497381
10.112 sec,22.1243418348908,1618.79631855479
10.144 sec,22.1573200252882,1621.21069388149
10.182 sec,22.1962363778777,1624.05980962673
